prefectures,national_treasure,important_cultural_property,important_cultural_landscape,important_traditional_buildings
Hokkaido,2,64,1,1
Aomori,3,61,0,2
Iwate,8,81,2,1
Miyagi,7,68,0,1
Akita,1,42,0,2
Yamagata,6,102,2,0
Fukushima,3,100,0,3
Ibaraki,2,79,0,1
Tochigi,17,160,1,1
Gunma,1,63,1,2
Saitama,4,85,0,1
Chiba,4,79,0,1
Tokyo,292,2862,1,0
Kanagawa,19,352,0,0
Niigata,1,88,2,2
Toyama,2,50,0,5
Ishikawa,2,137,3,8
Fukui,6,116,3,3
Yamanashi,5,111,0,2
Nagano,9,190,2,8
Gifu,7,159,1,6
Shizuoka,13,226,0,1
Aichi,9,344,0,2
Mie,7,191,0,1
Shiga,56,834,7,4
Kyoto,239,2221,3,7
Osaka,62,684,1,1
Hyogo,21,475,1,6
Nara,208,1337,1,3
Wakayama,36,400,1,1
Tottori,3,56,1,3
Shimane,5,101,1,3
Okayama,9,170,0,5
Hiroshima,19,216,0,4
Yamaguchi,9,141,1,5
Tokushima,0,52,1,3
Kagawa,6,124,0,1
Ehime,12,163,3,3
Kochi,3,90,6,2
Fukuoka,12,217,1,5
Saga,1,52,1,4
Nagasaki,3,74,7,4
Kumamoto,2,70,10,0
Oita,4,90,5,2
Miyazaki,0,25,1,3
Kagoshima,2,40,0,4
Okinawa,2,41,2,2